1.350	4
1.810	1
2.280	2
2.750	3
3.210	4
3.660	1
4.090	2
4.530	3
4.980	4
5.410	1
5.870	2
6.270	3
6.670	4
7.080	1
7.510	2
7.910	3
8.300	4
8.700	1
9.100	2
9.500	3
9.910	4
10.310	1
10.730	2
11.150	3
11.520	4
11.910	1
12.310	2
12.690	3
13.070	4
13.450	1
13.850	2
14.240	3
14.610	4
15.000	1
15.410	2
15.800	3
16.170	4
16.540	1
16.940	2
17.310	3
17.680	4
18.030	1
18.400	2
18.820	3
19.230	4
19.630	1
20.030	2
20.460	3
20.860	4
21.230	1
21.600	2
21.960	3
22.330	4
22.730	1
23.130	2
23.530	3
23.920	4
24.330	1
24.720	2
25.080	3
25.480	4
25.840	1
26.200	2
26.590	3
26.940	4
27.310	1
27.690	2
28.050	3
28.410	4
28.780	1
29.140	2
29.500	3
29.880	4
30.240	1
30.610	2
30.890	3
31.160	4
31.450	1
31.720	2
32.010	3
32.300	4
32.600	1
32.910	2
33.210	3
33.520	4
33.840	1
34.160	2
34.490	3
34.800	4
35.130	1
35.450	2
35.760	3
36.080	4
36.400	1
36.730	2
37.050	3
37.360	4
